,Average Fitness,Best Individual,Fitness Best,Fitness Worst
107,795.03,[1 1 0 ... 1 1 1],799,790
108,795.71,[1 1 0 ... 1 1 1],799,790
109,796.56,[1 1 0 ... 1 1 1],802,791
110,797.5,[1 1 0 ... 1 1 1],802,793
111,798.29,[1 1 0 ... 1 1 1],803,793
112,798.96,[1 1 0 ... 1 1 1],804,793
113,799.59,[1 1 0 ... 1 1 1],803,795
114,800.47,[1 1 0 ... 1 1 1],805,796
115,801.38,[1 1 0 ... 1 1 1],809,797
116,802.47,[1 1 0 ... 1 1 1],807,799
117,802.75,[1 1 0 ... 1 1 1],806,800
118,803.29,[1 1 0 ... 1 1 1],806,800
119,803.55,[1 1 0 ... 1 1 1],810,800
120,804.34,[1 1 0 ... 1 1 1],809,800
121,804.52,[1 1 0 ... 1 1 1],809,802
122,805.14,[1 1 0 ... 1 1 1],813,802
123,805.94,[1 1 0 ... 1 1 1],813,802
124,806.52,[1 1 0 ... 1 1 1],813,802
125,807.22,[1 1 0 ... 1 1 1],813,803
126,807.68,[1 1 0 ... 1 1 1],812,804
127,808.68,[1 1 0 ... 1 1 1],812,805
128,809.08,[1 1 0 ... 1 1 1],814,805
129,809.61,[1 1 0 ... 1 1 1],813,805
130,809.87,[1 1 0 ... 1 1 1],814,806
131,810.29,[1 1 0 ... 1 1 1],816,806
132,811.06,[1 1 0 ... 1 1 1],817,806
133,812.23,[1 1 0 ... 1 1 1],817,807
134,813.23,[1 1 0 ... 1 1 1],819,809
135,814.15,[1 1 0 ... 1 1 1],819,810
136,814.83,[1 1 0 ... 1 1 1],819,810
137,815.13,[1 1 0 ... 1 1 1],819,811
138,815.67,[1 1 0 ... 1 1 1],822,811
139,816.03,[1 1 0 ... 1 1 1],820,811
140,816.91,[1 1 0 ... 1 1 1],823,812
141,817.94,[1 1 0 ... 1 1 1],823,813
142,818.85,[1 1 0 ... 1 1 1],823,814
143,819.64,[1 1 0 ... 1 1 1],825,814
144,820.38,[1 1 0 ... 1 1 1],825,814
145,820.51,[1 1 0 ... 1 1 1],825,815
146,821.46,[1 1 0 ... 1 1 1],826,816
147,822.51,[1 1 0 ... 1 1 1],828,816
148,823.34,[1 1 0 ... 1 1 1],830,816
149,824.61,[1 1 0 ... 1 1 1],831,820
150,825.23,[1 1 0 ... 1 1 1],831,820
151,825.95,[1 1 0 ... 1 1 1],832,821
152,826.9,[1 1 0 ... 1 1 1],832,821
153,827.39,[1 1 0 ... 1 1 1],831,821
154,827.99,[1 1 0 ... 1 1 1],832,821
155,828.63,[1 1 0 ... 1 1 1],833,821
156,829.27,[1 1 0 ... 1 1 1],833,823
157,830.18,[1 1 0 ... 1 1 1],835,827
158,830.76,[1 1 0 ... 1 1 1],835,827
159,831.34,[1 1 0 ... 1 1 1],835,827
160,832.11,[1 1 0 ... 1 1 1],837,829
161,832.69,[1 1 0 ... 1 1 1],839,829
162,833.52,[1 1 0 ... 1 1 1],838,829
163,834.24,[1 1 0 ... 1 1 1],838,829
164,834.83,[1 1 0 ... 1 1 1],841,832
165,835.55,[1 1 0 ... 1 1 1],841,832
166,835.85,[1 1 0 ... 1 1 1],844,833
167,836.29,[1 1 0 ... 1 1 1],844,833
