,Average Fitness,Best Individual,Fitness Best,Fitness Worst
527,1018.22,[1 1 1 ... 1 1 1],1022,1016
528,1018.8,[1 1 1 ... 1 1 1],1022,1016
529,1018.84,[1 1 1 ... 1 1 1],1022,1016
530,1019.24,[1 1 1 ... 1 1 1],1022,1016
531,1019.47,[1 1 1 ... 1 1 1],1022,1016
532,1019.77,[1 1 1 ... 1 1 1],1022,1017
533,1019.95,[1 1 1 ... 1 1 1],1024,1018
534,1020.45,[1 1 1 ... 1 1 1],1024,1018
535,1020.79,[1 1 1 ... 1 1 1],1024,1018
536,1021.21,[1 1 1 ... 1 1 1],1024,1019
537,1021.57,[1 1 1 ... 1 1 1],1026,1019
538,1021.82,[1 1 1 ... 1 1 1],1026,1019
539,1022.39,[1 1 1 ... 1 1 1],1026,1019
540,1023.15,[1 1 1 ... 1 1 1],1026,1019
541,1023.44,[1 1 1 ... 1 1 1],1026,1019
542,1023.74,[1 1 1 ... 1 1 1],1028,1020
543,1024.43,[1 1 1 ... 1 1 1],1029,1020
544,1025.24,[1 1 1 ... 1 1 1],1028,1021
545,1025.79,[1 1 1 ... 1 1 1],1030,1022
546,1026.17,[1 1 1 ... 1 1 1],1030,1022
547,1026.31,[1 1 1 ... 1 1 1],1030,1022
548,1026.7,[1 1 1 ... 1 1 1],1030,1023
549,1027.2,[1 1 1 ... 1 1 1],1031,1023
550,1027.59,[1 1 1 ... 1 1 1],1030,1023
551,1027.81,[1 1 1 ... 1 1 1],1031,1025
552,1028.06,[1 1 1 ... 1 1 1],1033,1025
553,1028.58,[1 1 1 ... 1 1 1],1033,1025
554,1029.04,[1 1 1 ... 1 1 1],1033,1026
555,1029.25,[1 1 1 ... 1 1 1],1033,1026
556,1029.58,[1 1 1 ... 1 1 1],1033,1027
557,1029.98,[1 1 1 ... 1 1 1],1034,1027
558,1030.58,[1 1 1 ... 1 1 1],1033,1028
559,1030.95,[1 1 1 ... 1 1 1],1034,1028
560,1031.31,[1 1 1 ... 1 1 1],1035,1029
561,1031.53,[1 1 1 ... 1 1 1],1035,1029
562,1031.89,[1 1 1 ... 1 1 1],1035,1029
563,1032.27,[1 1 1 ... 1 1 1],1035,1029
564,1032.55,[1 1 1 ... 1 1 1],1036,1030
565,1033.11,[1 1 1 ... 1 1 1],1036,1031
566,1033.65,[1 1 1 ... 1 1 1],1036,1032
567,1033.96,[1 1 1 ... 1 1 1],1036,1032
568,1034.41,[1 1 1 ... 1 1 1],1037,1032
569,1034.81,[1 1 1 ... 1 1 1],1037,1032
570,1035.01,[1 1 1 ... 1 1 1],1037,1032
571,1035.39,[1 1 1 ... 1 1 1],1037,1033
572,1035.53,[1 1 1 ... 1 1 1],1038,1033
573,1035.9,[1 1 1 ... 1 1 1],1038,1033
574,1036.26,[1 1 1 ... 1 1 1],1040,1034
575,1036.71,[1 1 1 ... 1 1 1],1040,1034
576,1037.01,[1 1 1 ... 1 1 1],1040,1035
577,1037.09,[1 1 1 ... 1 1 1],1040,1035
578,1037.46,[1 1 1 ... 1 1 1],1042,1035
579,1037.77,[1 1 1 ... 1 1 1],1040,1036
580,1037.97,[1 1 1 ... 1 1 1],1040,1036
581,1038.33,[1 1 1 ... 1 1 1],1040,1037
582,1038.86,[1 1 1 ... 1 1 1],1041,1037
583,1039.09,[1 1 1 ... 1 1 1],1042,1037
584,1039.37,[1 1 1 ... 1 1 1],1042,1037
585,1039.67,[1 1 1 ... 1 1 1],1042,1038
586,1039.98,[1 1 1 ... 1 1 1],1043,1038
587,1040.3,[1 1 1 ... 1 1 1],1043,1039
588,1040.57,[1 1 1 ... 1 1 1],1043,1039
589,1040.87,[1 1 1 ... 1 1 1],1044,1039
590,1041.29,[1 1 1 ... 1 1 1],1044,1039
591,1041.54,[1 1 1 ... 1 1 1],1043,1040
592,1041.69,[1 1 1 ... 1 1 1],1043,1040
593,1042.03,[1 1 1 ... 1 1 1],1044,1040
594,1042.14,[1 1 1 ... 1 1 1],1045,1040
595,1042.25,[1 1 1 ... 1 1 1],1045,1040
596,1042.46,[1 1 1 ... 1 1 1],1045,1040
597,1042.92,[1 1 1 ... 1 1 1],1045,1041
598,1043.3,[1 1 1 ... 1 1 1],1045,1042
599,1043.51,[1 1 1 ... 1 1 1],1046,1042
600,1043.7,[1 1 1 ... 1 1 1],1045,1042
601,1043.93,[1 1 1 ... 1 1 1],1048,1042
602,1044.05,[1 1 1 ... 1 1 1],1048,1042
603,1044.2,[1 1 1 ... 1 1 1],1048,1042
604,1044.57,[1 1 1 ... 1 1 1],1049,1042
605,1044.96,[1 1 1 ... 1 1 1],1049,1042
606,1045.49,[1 1 1 ... 1 1 1],1049,1042
607,1045.95,[1 1 1 ... 1 1 1],1049,1043
608,1046.47,[1 1 1 ... 1 1 1],1049,1044
609,1046.6,[1 1 1 ... 1 1 1],1049,1044
610,1046.58,[1 1 1 ... 1 1 1],1049,1044
611,1046.78,[1 1 1 ... 1 1 1],1050,1044
612,1047.18,[1 1 1 ... 1 1 1],1051,1044
613,1047.59,[1 1 1 ... 1 1 1],1050,1044
614,1048.05,[1 1 1 ... 1 1 1],1050,1046
615,1048.15,[1 1 1 ... 1 1 1],1052,1046
616,1048.31,[1 1 1 ... 1 1 1],1052,1046
617,1048.52,[1 1 1 ... 1 1 1],1052,1046
618,1048.81,[1 1 1 ... 1 1 1],1052,1046
619,1049.26,[1 1 1 ... 1 1 1],1052,1047
620,1049.52,[1 1 1 ... 1 1 1],1052,1047
621,1049.97,[1 1 1 ... 1 1 1],1054,1047
622,1050.37,[1 1 1 ... 1 1 1],1053,1047
623,1050.49,[1 1 1 ... 1 1 1],1053,1047
624,1050.86,[1 1 1 ... 1 1 1],1055,1047
625,1051.11,[1 1 1 ... 1 1 1],1053,1048
626,1051.5,[1 1 1 ... 1 1 1],1054,1049
627,1051.75,[1 1 1 ... 1 1 1],1054,1049
628,1052.0,[1 1 1 ... 1 1 1],1054,1049
629,1052.29,[1 1 1 ... 1 1 1],1055,1049
630,1052.58,[1 1 1 ... 1 1 1],1057,1049
631,1053.05,[1 1 1 ... 1 1 1],1058,1049
632,1053.19,[1 1 1 ... 1 1 1],1058,1050
633,1053.6,[1 1 1 ... 1 1 1],1058,1051
634,1053.95,[1 1 1 ... 1 1 1],1059,1052
635,1054.3,[1 1 1 ... 1 1 1],1058,1052
636,1054.92,[1 1 1 ... 1 1 1],1058,1053
637,1055.64,[1 1 1 ... 1 1 1],1059,1053
638,1055.98,[1 1 1 ... 1 1 1],1061,1053
639,1056.53,[1 1 1 ... 1 1 1],1059,1054
640,1056.83,[1 1 1 ... 1 1 1],1059,1054
641,1057.13,[1 1 1 ... 1 1 1],1059,1054
642,1057.38,[1 1 1 ... 1 1 1],1060,1054
643,1057.7,[1 1 1 ... 1 1 1],1061,1055
644,1058.19,[1 1 1 ... 1 1 1],1062,1056
645,1058.84,[1 1 1 ... 1 1 1],1062,1056
646,1059.08,[1 1 1 ... 1 1 1],1062,1057
647,1059.45,[1 1 1 ... 1 1 1],1064,1057
648,1059.84,[1 1 1 ... 1 1 1],1064,1057
649,1060.29,[1 1 1 ... 1 1 1],1065,1058
650,1060.73,[1 1 1 ... 1 1 1],1064,1058
651,1061.08,[1 1 1 ... 1 1 1],1064,1058
652,1061.44,[1 1 1 ... 1 1 1],1064,1058
653,1062.05,[1 1 1 ... 1 1 1],1066,1058
654,1062.47,[1 1 1 ... 1 1 1],1066,1058
655,1062.76,[1 1 1 ... 1 1 1],1067,1058
656,1063.4,[1 1 1 ... 1 1 1],1067,1060
657,1063.8,[1 1 1 ... 1 1 1],1067,1061
658,1064.2,[1 1 1 ... 1 1 1],1068,1062
659,1064.38,[1 1 1 ... 1 1 1],1068,1062
660,1065.09,[1 1 1 ... 1 1 1],1068,1062
661,1065.56,[1 1 1 ... 1 1 1],1070,1062
662,1066.09,[1 1 1 ... 1 1 1],1070,1062
663,1066.48,[1 1 1 ... 1 1 1],1070,1062
664,1066.74,[1 1 1 ... 1 1 1],1070,1063
665,1067.01,[1 1 1 ... 1 1 1],1072,1063
666,1067.45,[1 1 1 ... 1 1 1],1072,1063
667,1068.08,[1 1 1 ... 1 1 1],1072,1064
668,1068.45,[1 1 1 ... 1 1 1],1071,1065
669,1068.87,[1 1 1 ... 1 1 1],1071,1065
670,1069.26,[1 1 1 ... 1 1 1],1071,1067
671,1069.69,[1 1 1 ... 1 1 1],1073,1068
672,1070.33,[1 1 1 ... 1 1 1],1073,1068
673,1070.8,[1 1 1 ... 1 1 1],1074,1068
674,1070.98,[1 1 1 ... 1 1 1],1074,1069
675,1071.1,[1 1 1 ... 1 1 1],1074,1069
676,1071.33,[1 1 1 ... 1 1 1],1074,1069
677,1071.9,[1 1 1 ... 1 1 1],1075,1070
678,1072.27,[1 1 1 ... 1 1 1],1075,1070
679,1072.74,[1 1 1 ... 1 1 1],1075,1070
680,1073.4,[1 1 1 ... 1 1 1],1075,1071
681,1073.75,[1 1 1 ... 1 1 1],1076,1071
682,1074.01,[1 1 1 ... 1 1 1],1076,1072
683,1074.24,[1 1 1 ... 1 1 1],1077,1072
684,1074.57,[1 1 1 ... 1 1 1],1076,1072
685,1074.96,[1 1 1 ... 1 1 1],1079,1072
686,1075.29,[1 1 1 ... 1 1 1],1079,1073
687,1075.81,[1 1 1 ... 1 1 1],1079,1073
688,1076.0,[1 1 1 ... 1 1 1],1079,1073
689,1076.07,[1 1 1 ... 1 1 1],1079,1074
690,1076.34,[1 1 1 ... 1 1 1],1079,1075
691,1076.79,[1 1 1 ... 1 1 1],1080,1075
692,1077.1,[1 1 1 ... 1 1 1],1081,1075
693,1077.21,[1 1 1 ... 1 1 1],1081,1075
694,1077.54,[1 1 1 ... 1 1 1],1081,1075
695,1078.0,[1 1 1 ... 1 1 1],1081,1075
696,1078.3,[1 1 1 ... 1 1 1],1081,1075
697,1078.57,[1 1 1 ... 1 1 1],1081,1076
698,1078.71,[1 1 1 ... 1 1 1],1082,1077
699,1078.92,[1 1 1 ... 1 1 1],1082,1077
700,1079.21,[1 1 1 ... 1 1 1],1082,1077
701,1079.37,[1 1 1 ... 1 1 1],1082,1077
702,1079.61,[1 1 1 ... 1 1 1],1083,1077
703,1079.73,[1 1 1 ... 1 1 1],1083,1078
704,1079.96,[1 1 1 ... 1 1 1],1083,1078
705,1080.24,[1 1 1 ... 1 1 1],1085,1079
706,1080.58,[1 1 1 ... 1 1 1],1085,1079
707,1080.81,[1 1 1 ... 1 1 1],1085,1079
708,1080.99,[1 1 1 ... 1 1 1],1085,1079
709,1081.31,[1 1 1 ... 1 1 1],1085,1079
710,1081.56,[1 1 1 ... 1 1 1],1086,1079
711,1082.0,[1 1 1 ... 1 1 1],1086,1079
712,1082.24,[1 1 1 ... 1 1 1],1086,1079
713,1082.53,[1 1 1 ... 1 1 1],1086,1080
714,1082.75,[1 1 1 ... 1 1 1],1087,1080
715,1082.98,[1 1 1 ... 1 1 1],1087,1081
716,1083.19,[1 1 1 ... 1 1 1],1087,1081
717,1083.2,[1 1 1 ... 1 1 1],1087,1081
718,1083.43,[1 1 1 ... 1 1 1],1087,1081
719,1083.68,[1 1 1 ... 1 1 1],1087,1081
720,1083.8,[1 1 1 ... 1 1 1],1087,1081
721,1084.3,[1 1 1 ... 1 1 1],1089,1081
722,1084.46,[1 1 1 ... 1 1 1],1089,1081
723,1084.94,[1 1 1 ... 1 1 1],1089,1081
724,1085.24,[1 1 1 ... 1 1 1],1089,1083
725,1085.66,[1 1 1 ... 1 1 1],1089,1083
726,1085.86,[1 1 1 ... 1 1 1],1089,1083
727,1086.08,[1 1 1 ... 1 1 1],1091,1083
728,1086.21,[1 1 1 ... 1 1 1],1091,1083
729,1086.62,[1 1 1 ... 1 1 1],1090,1083
730,1086.81,[1 1 1 ... 1 1 1],1090,1083
731,1087.62,[1 1 1 ... 1 1 1],1091,1083
732,1087.82,[1 1 1 ... 1 1 1],1090,1083
733,1088.28,[1 1 1 ... 1 1 1],1092,1083
734,1088.64,[1 1 1 ... 1 1 1],1092,1083
735,1088.81,[1 1 1 ... 1 1 1],1092,1085
736,1089.02,[1 1 1 ... 1 1 1],1092,1085
737,1089.52,[1 1 1 ... 1 1 1],1092,1085
738,1089.96,[1 1 1 ... 1 1 1],1092,1086
739,1090.18,[1 1 1 ... 1 1 1],1092,1086
740,1090.5,[1 1 1 ... 1 1 1],1093,1089
741,1090.67,[1 1 1 ... 1 1 1],1093,1089
742,1090.81,[1 1 1 ... 1 1 1],1093,1089
743,1091.02,[1 1 1 ... 1 1 1],1093,1089
744,1091.19,[1 1 1 ... 1 1 1],1093,1089
745,1091.33,[1 1 1 ... 1 1 1],1094,1090
746,1091.5,[1 1 1 ... 1 1 1],1094,1090
747,1091.58,[1 1 1 ... 1 1 1],1093,1090
748,1091.73,[1 1 1 ... 1 1 1],1094,1090
749,1091.93,[1 1 1 ... 1 1 1],1095,1090
750,1092.11,[1 1 1 ... 1 1 1],1095,1091
751,1092.17,[1 1 1 ... 1 1 1],1095,1091
752,1092.23,[1 1 1 ... 1 1 1],1095,1091
753,1092.33,[1 1 1 ... 1 1 1],1095,1091
754,1092.52,[1 1 1 ... 1 1 1],1096,1091
755,1092.61,[1 1 1 ... 1 1 1],1096,1091
756,1092.79,[1 1 1 ... 1 1 1],1096,1091
757,1093.0,[1 1 1 ... 1 1 1],1096,1091
758,1093.25,[1 1 1 ... 1 1 1],1096,1091
759,1093.52,[1 1 1 ... 1 1 1],1097,1091
760,1093.69,[1 1 1 ... 1 1 1],1097,1091
761,1093.83,[1 1 1 ... 1 1 1],1097,1091
762,1094.04,[1 1 1 ... 1 1 1],1097,1091
763,1094.33,[1 1 1 ... 1 1 1],1098,1091
764,1094.49,[1 1 1 ... 1 1 1],1098,1091
765,1094.71,[1 1 1 ... 1 1 1],1098,1092
766,1095.07,[1 1 1 ... 1 1 1],1098,1092
767,1095.35,[1 1 1 ... 1 1 1],1098,1092
768,1095.31,[1 1 1 ... 1 1 1],1099,1092
769,1095.37,[1 1 1 ... 1 1 1],1098,1092
770,1095.69,[1 1 1 ... 1 1 1],1098,1092
771,1095.77,[1 1 1 ... 1 1 1],1099,1092
772,1095.91,[1 1 1 ... 1 1 1],1099,1092
773,1096.29,[1 1 1 ... 1 1 1],1099,1092
774,1096.11,[1 1 1 ... 1 1 1],1098,1092
775,1096.21,[1 1 1 ... 1 1 1],1099,1092
776,1096.71,[1 1 1 ... 1 1 1],1099,1092
777,1097.03,[1 1 1 ... 1 1 1],1099,1093
778,1097.4,[1 1 1 ... 1 1 1],1099,1095
779,1097.46,[1 1 1 ... 1 1 1],1100,1095
780,1097.48,[1 1 1 ... 1 1 1],1100,1095
781,1097.47,[1 1 1 ... 1 1 1],1100,1095
782,1097.62,[1 1 1 ... 1 1 1],1100,1096
783,1097.64,[1 1 1 ... 1 1 1],1101,1096
784,1097.67,[1 1 1 ... 1 1 1],1101,1096
785,1097.92,[1 1 1 ... 1 1 1],1101,1096
786,1097.99,[1 1 1 ... 1 1 1],1101,1096
787,1097.97,[1 1 1 ... 1 1 1],1101,1096
788,1098.28,[1 1 1 ... 1 1 1],1101,1096
789,1098.46,[1 1 1 ... 1 1 1],1101,1096
790,1098.48,[1 1 1 ... 1 1 1],1101,1096
791,1098.51,[1 1 1 ... 1 1 1],1101,1096
792,1098.74,[1 1 1 ... 1 1 1],1101,1096
793,1099.05,[1 1 1 ... 1 1 1],1101,1096
794,1099.22,[1 1 1 ... 1 1 1],1102,1096
795,1099.51,[1 1 1 ... 1 1 1],1102,1096
796,1099.77,[1 1 1 ... 1 1 1],1102,1097
797,1099.98,[1 1 1 ... 1 1 1],1102,1098
798,1100.24,[1 1 1 ... 1 1 1],1102,1099
799,1100.46,[1 1 1 ... 1 1 1],1103,1099
800,1100.85,[1 1 1 ... 1 1 1],1103,1099
801,1100.93,[1 1 1 ... 1 1 1],1103,1099
802,1101.11,[1 1 1 ... 1 1 1],1103,1099
803,1101.32,[1 1 1 ... 1 1 1],1104,1099
804,1101.42,[1 1 1 ... 1 1 1],1104,1100
805,1101.69,[1 1 1 ... 1 1 1],1104,1100
806,1101.91,[1 1 1 ... 1 1 1],1105,1100
807,1102.39,[1 1 1 ... 1 1 1],1106,1101
808,1102.54,[1 1 1 ... 1 1 1],1106,1101
809,1102.59,[1 1 1 ... 1 1 1],1106,1101
810,1102.94,[1 1 1 ... 1 1 1],1106,1101
811,1103.09,[1 1 1 ... 1 1 1],1107,1101
812,1103.35,[1 1 1 ... 1 1 1],1107,1101
813,1103.88,[1 1 1 ... 1 1 1],1107,1102
814,1104.07,[1 1 1 ... 1 1 1],1107,1102
815,1104.41,[1 1 1 ... 1 1 1],1107,1103
816,1104.63,[1 1 1 ... 1 1 1],1107,1103
817,1104.85,[1 1 1 ... 1 1 1],1107,1103
818,1105.19,[1 1 1 ... 1 1 1],1108,1103
819,1105.52,[1 1 1 ... 1 1 1],1108,1103
820,1106.05,[1 1 1 ... 1 1 1],1109,1103
821,1106.25,[1 1 1 ... 1 1 1],1109,1104
822,1106.45,[1 1 1 ... 1 1 1],1109,1104
823,1106.77,[1 1 1 ... 1 1 1],1109,1105
824,1106.94,[1 1 1 ... 1 1 1],1110,1105
825,1107.14,[1 1 1 ... 1 1 1],1112,1105
826,1107.43,[1 1 1 ... 1 1 1],1112,1105
827,1107.76,[1 1 1 ... 1 1 1],1112,1105
828,1108.32,[1 1 1 ... 1 1 1],1112,1106
829,1108.56,[1 1 1 ... 1 1 1],1113,1106
830,1108.82,[1 1 1 ... 1 1 1],1112,1106
831,1109.29,[1 1 1 ... 1 1 1],1113,1107
832,1109.71,[1 1 1 ... 1 1 1],1113,1107
833,1110.38,[1 1 1 ... 1 1 1],1115,1108
834,1110.7,[1 1 1 ... 1 1 1],1115,1108
835,1111.07,[1 1 1 ... 1 1 1],1115,1108
836,1111.31,[1 1 1 ... 1 1 1],1115,1109
837,1111.57,[1 1 1 ... 1 1 1],1114,1109
838,1111.56,[1 1 1 ... 1 1 1],1114,1110
839,1111.61,[1 1 1 ... 1 1 1],1114,1110
840,1111.9,[1 1 1 ... 1 1 1],1114,1110
841,1112.13,[1 1 1 ... 1 1 1],1114,1110
842,1112.22,[1 1 1 ... 1 1 1],1114,1110
843,1112.49,[1 1 1 ... 1 1 1],1115,1111
844,1112.78,[1 1 1 ... 1 1 1],1115,1111
845,1112.86,[1 1 1 ... 1 1 1],1115,1111
846,1112.96,[1 1 1 ... 1 1 1],1115,1111
847,1113.14,[1 1 1 ... 1 1 1],1115,1111
848,1113.18,[1 1 1 ... 1 1 1],1115,1111
849,1113.26,[1 1 1 ... 1 1 1],1115,1111
850,1113.3,[1 1 1 ... 1 1 1],1115,1111
851,1113.45,[1 1 1 ... 1 1 1],1115,1111
852,1113.57,[1 1 1 ... 1 1 1],1116,1111
853,1113.84,[1 1 1 ... 1 1 1],1116,1112
854,1113.9,[1 1 1 ... 1 1 1],1116,1112
855,1114.13,[1 1 1 ... 1 1 1],1116,1113
856,1114.31,[1 1 1 ... 1 1 1],1116,1113
857,1114.53,[1 1 1 ... 1 1 1],1116,1113
858,1114.64,[1 1 1 ... 1 1 1],1118,1113
859,1114.8,[1 1 1 ... 1 1 1],1116,1113
860,1115.01,[1 1 1 ... 1 1 1],1117,1113
861,1115.19,[1 1 1 ... 1 1 1],1117,1114
862,1115.33,[1 1 1 ... 1 1 1],1119,1114
863,1115.44,[1 1 1 ... 1 1 1],1119,1114
864,1115.54,[1 1 1 ... 1 1 1],1119,1114
865,1115.74,[1 1 1 ... 1 1 1],1118,1114
866,1115.74,[1 1 1 ... 1 1 1],1118,1114
867,1115.95,[1 1 1 ... 1 1 1],1118,1114
868,1116.03,[1 1 1 ... 1 1 1],1118,1114
869,1116.19,[1 1 1 ... 1 1 1],1118,1114
870,1116.15,[1 1 1 ... 1 1 1],1118,1114
871,1116.28,[1 1 1 ... 1 1 1],1118,1114
872,1116.69,[1 1 1 ... 1 1 1],1120,1114
873,1116.81,[1 1 1 ... 1 1 1],1119,1115
874,1116.94,[1 1 1 ... 1 1 1],1118,1115
875,1117.1,[1 1 1 ... 1 1 1],1119,1115
876,1117.26,[1 1 1 ... 1 1 1],1119,1115
877,1117.29,[1 1 1 ... 1 1 1],1119,1115
878,1117.31,[1 1 1 ... 1 1 1],1119,1115
879,1117.48,[1 1 1 ... 1 1 1],1119,1115
880,1117.62,[1 1 1 ... 1 1 1],1119,1116
881,1117.84,[1 1 1 ... 1 1 1],1120,1116
882,1118.23,[1 1 1 ... 1 1 1],1121,1116
883,1118.16,[1 1 1 ... 1 1 1],1121,1116
884,1118.39,[1 1 1 ... 1 1 1],1121,1116
885,1118.55,[1 1 1 ... 1 1 1],1121,1117
886,1118.65,[1 1 1 ... 1 1 1],1121,1117
887,1118.72,[1 1 1 ... 1 1 1],1121,1117
888,1118.84,[1 1 1 ... 1 1 1],1121,1117
889,1118.95,[1 1 1 ... 1 1 1],1121,1117
890,1119.14,[1 1 1 ... 1 1 1],1122,1117
891,1119.63,[1 1 1 ... 1 1 1],1122,1117
892,1119.8,[1 1 1 ... 1 1 1],1122,1118
893,1120.17,[1 1 1 ... 1 1 1],1122,1119
894,1120.28,[1 1 1 ... 1 1 1],1123,1119
895,1120.33,[1 1 1 ... 1 1 1],1123,1119
896,1120.64,[1 1 1 ... 1 1 1],1123,1119
897,1120.81,[1 1 1 ... 1 1 1],1122,1119
898,1120.89,[1 1 1 ... 1 1 1],1123,1119
899,1121.09,[1 1 1 ... 1 1 1],1123,1119
900,1121.21,[1 1 1 ... 1 1 1],1123,1119
901,1121.38,[1 1 1 ... 1 1 1],1123,1119
902,1121.67,[1 1 1 ... 1 1 1],1124,1120
903,1121.8,[1 1 1 ... 1 1 1],1124,1120
904,1121.96,[1 1 1 ... 1 1 1],1124,1120
905,1122.15,[1 1 1 ... 1 1 1],1124,1120
906,1122.45,[1 1 1 ... 1 1 1],1124,1120
907,1122.76,[1 1 1 ... 1 1 1],1125,1120
908,1122.87,[1 1 1 ... 1 1 1],1125,1120
909,1123.03,[1 1 1 ... 1 1 1],1127,1121
910,1123.26,[1 1 1 ... 1 1 1],1127,1121
911,1123.38,[1 1 1 ... 1 1 1],1125,1121
912,1123.46,[1 1 1 ... 1 1 1],1126,1122
913,1123.64,[1 1 1 ... 1 1 1],1126,1122
914,1123.94,[1 1 1 ... 1 1 1],1126,1122
915,1124.01,[1 1 1 ... 1 1 1],1126,1122
916,1124.12,[1 1 1 ... 1 1 1],1127,1122
917,1124.28,[1 1 1 ... 1 1 1],1126,1122
918,1124.45,[1 1 1 ... 1 1 1],1128,1122
919,1124.51,[1 1 1 ... 1 1 1],1127,1122
920,1124.84,[1 1 1 ... 1 1 1],1127,1122
921,1124.91,[1 1 1 ... 1 1 1],1127,1122
922,1125.26,[1 1 1 ... 1 1 1],1127,1122
923,1125.42,[1 1 1 ... 1 1 1],1129,1123
924,1125.69,[1 1 1 ... 1 1 1],1129,1124
925,1125.89,[1 1 1 ... 1 1 1],1129,1125
926,1126.12,[1 1 1 ... 1 1 1],1129,1125
927,1126.4,[1 1 1 ... 1 1 1],1129,1125
928,1126.57,[1 1 1 ... 1 1 1],1130,1125
929,1127.05,[1 1 1 ... 1 1 1],1130,1125
930,1127.41,[1 1 1 ... 1 1 1],1130,1125
931,1127.67,[1 1 1 ... 1 1 1],1132,1125
932,1127.88,[1 1 1 ... 1 1 1],1132,1125
933,1128.23,[1 1 1 ... 1 1 1],1132,1125
934,1128.51,[1 1 1 ... 1 1 1],1132,1125
935,1128.54,[1 1 1 ... 1 1 1],1132,1125
936,1129.05,[1 1 1 ... 1 1 1],1132,1126
937,1129.47,[1 1 1 ... 1 1 1],1132,1126
938,1129.68,[1 1 1 ... 1 1 1],1132,1127
939,1130.24,[1 1 1 ... 1 1 1],1134,1127
940,1130.47,[1 1 1 ... 1 1 1],1133,1127
941,1130.63,[1 1 1 ... 1 1 1],1133,1127
942,1131.14,[1 1 1 ... 1 1 1],1133,1128
943,1131.33,[1 1 1 ... 1 1 1],1133,1129
944,1131.33,[1 1 1 ... 1 1 1],1133,1130
945,1131.46,[1 1 1 ... 1 1 1],1134,1130
946,1131.77,[1 1 1 ... 1 1 1],1136,1130
947,1131.93,[1 1 1 ... 1 1 1],1136,1130
948,1132.27,[1 1 1 ... 1 1 1],1137,1130
949,1132.7,[1 1 1 ... 1 1 1],1136,1130
950,1132.68,[1 1 1 ... 1 1 1],1136,1130
951,1132.74,[1 1 1 ... 1 1 1],1136,1130
952,1133.08,[1 1 1 ... 1 1 1],1136,1131
953,1133.37,[1 1 1 ... 1 1 1],1136,1131
954,1133.59,[1 1 1 ... 1 1 1],1136,1131
955,1133.92,[1 1 1 ... 1 1 1],1137,1131
956,1134.11,[1 1 1 ... 1 1 1],1136,1132
957,1134.26,[1 1 1 ... 1 1 1],1136,1132
958,1134.6,[1 1 1 ... 1 1 1],1138,1133
959,1134.6,[1 1 1 ... 1 1 1],1138,1133
960,1134.77,[1 1 1 ... 1 1 1],1139,1133
961,1135.01,[1 1 1 ... 1 1 1],1137,1133
962,1135.37,[1 1 1 ... 1 1 1],1139,1133
963,1135.61,[1 1 1 ... 1 1 1],1139,1133
964,1135.93,[1 1 1 ... 1 1 1],1139,1133
965,1136.44,[1 1 1 ... 1 1 1],1139,1134
966,1136.69,[1 1 1 ... 1 1 1],1139,1135
967,1137.14,[1 1 1 ... 1 1 1],1142,1135
968,1137.38,[1 1 1 ... 1 1 1],1142,1135
969,1138.06,[1 1 1 ... 1 1 1],1142,1135
970,1138.54,[1 1 1 ... 1 1 1],1142,1136
971,1138.6,[1 1 1 ... 1 1 1],1142,1136
972,1138.74,[1 1 1 ... 1 1 1],1142,1136
973,1139.04,[1 1 1 ... 1 1 1],1142,1137
974,1139.43,[1 1 1 ... 1 1 1],1143,1137
975,1139.85,[1 1 1 ... 1 1 1],1142,1137
976,1139.86,[1 1 1 ... 1 1 1],1142,1137
977,1140.22,[1 1 1 ... 1 1 1],1143,1137
978,1140.48,[1 1 1 ... 1 1 1],1143,1138
979,1140.66,[1 1 1 ... 1 1 1],1143,1138
980,1141.09,[1 1 1 ... 1 1 1],1143,1138
981,1141.16,[1 1 1 ... 1 1 1],1143,1139
982,1141.24,[1 1 1 ... 1 1 1],1144,1139
983,1141.55,[1 1 1 ... 1 1 1],1144,1139
984,1141.89,[1 1 1 ... 1 1 1],1144,1139
985,1141.97,[1 1 1 ... 1 1 1],1144,1139
986,1142.1,[1 1 1 ... 1 1 1],1144,1139
987,1142.35,[1 1 1 ... 1 1 1],1145,1140
988,1142.4,[1 1 1 ... 1 1 1],1145,1140
989,1142.74,[1 1 1 ... 1 1 1],1145,1141
990,1143.02,[1 1 1 ... 1 1 1],1145,1141
991,1143.11,[1 1 1 ... 1 1 1],1145,1141
992,1143.31,[1 1 1 ... 1 1 1],1145,1141
993,1143.51,[1 1 1 ... 1 1 1],1145,1141
994,1143.65,[1 1 1 ... 1 1 1],1145,1141
995,1143.75,[1 1 1 ... 1 1 1],1145,1141
996,1143.85,[1 1 1 ... 1 1 1],1145,1141
997,1143.95,[1 1 1 ... 1 1 1],1146,1141
998,1144.08,[1 1 1 ... 1 1 1],1146,1143
999,1144.24,[1 1 1 ... 1 1 1],1146,1143
1000,1144.36,[1 1 1 ... 1 1 1],1148,1143
1001,1144.56,[1 1 1 ... 1 1 1],1148,1143
1002,1144.71,[1 1 1 ... 1 1 1],1148,1143
1003,1144.98,[1 1 1 ... 1 1 1],1147,1143
1004,1145.12,[1 1 1 ... 1 1 1],1147,1143
1005,1145.33,[1 1 1 ... 1 1 1],1148,1144
1006,1145.58,[1 1 1 ... 1 1 1],1148,1144
1007,1145.65,[1 1 1 ... 1 1 1],1148,1144
