mu,nu,psi,H,Combination
0.0,0.05,0.3,0.28539487319034584,Immune-Highly Susceptible
0.0,0.05,0.3,0.2753618082621903,Susceptible-Highly Susceptible
0.0,0.05,0.35,0.13793449870874805,Immune-Susceptible
0.0,0.05,0.35,0.2814399286298749,Immune-Highly Susceptible
0.0,0.05,0.35,0.276111028184208,Susceptible-Highly Susceptible
0.0,0.05,0.4,0.15343506010891048,Immune-Susceptible
0.0,0.05,0.4,0.28695831317554676,Immune-Highly Susceptible
0.0,0.05,0.4,0.2804690729565561,Susceptible-Highly Susceptible
0.0,0.05,0.45,0.14435642280050362,Immune-Susceptible
0.0,0.05,0.45,0.29657057140692766,Immune-Highly Susceptible
0.0,0.05,0.45,0.2908255643681868,Susceptible-Highly Susceptible
0.0,0.05,0.5,0.1627923280608971,Immune-Susceptible
0.0,0.05,0.5,0.2736854323452676,Immune-Highly Susceptible
0.0,0.05,0.5,0.2651890414048938,Susceptible-Highly Susceptible
0.0,0.05,0.55,0.15391248505249427,Immune-Susceptible
0.0,0.05,0.55,0.32558751550999926,Immune-Highly Susceptible
0.0,0.05,0.55,0.3185313151151795,Susceptible-Highly Susceptible
0.0,0.05,0.6,0.14315314470637128,Immune-Susceptible
0.0,0.05,0.6,0.3484889116530441,Immune-Highly Susceptible
0.0,0.05,0.6,0.3453666275878705,Susceptible-Highly Susceptible
0.0,0.05,0.65,0.16873753736998792,Immune-Susceptible
0.0,0.05,0.65,0.358355221431005,Immune-Highly Susceptible
0.0,0.05,0.65,0.34506581923528273,Susceptible-Highly Susceptible
0.0,0.05,0.7,0.17832114672044067,Immune-Susceptible
0.0,0.05,0.7,0.34922849029906505,Immune-Highly Susceptible
0.0,0.05,0.7,0.34250407169719366,Susceptible-Highly Susceptible
0.0,0.05,0.75,0.16928927701757823,Immune-Susceptible
0.0,0.05,0.75,0.3695926967919678,Immune-Highly Susceptible
0.0,0.05,0.75,0.3615392628132064,Susceptible-Highly Susceptible
0.0,0.05,0.8,0.18891637989734839,Immune-Susceptible
0.0,0.05,0.8,0.3773860279472375,Immune-Highly Susceptible
0.0,0.05,0.8,0.3579788791783614,Susceptible-Highly Susceptible
0.0,0.05,0.85,0.2094792956080252,Immune-Susceptible
0.0,0.05,0.85,0.4705556139360903,Immune-Highly Susceptible
0.0,0.05,0.85,0.4473574684799299,Susceptible-Highly Susceptible
0.0,0.05,0.9,0.2791844484267535,Immune-Susceptible
0.0,0.05,0.9,0.4610545901788953,Immune-Highly Susceptible
0.0,0.05,0.9,0.423944212789815,Susceptible-Highly Susceptible
0.0,0.05,0.95,0.2806081702803523,Immune-Susceptible
0.0,0.05,0.95,0.5290170997252361,Immune-Highly Susceptible
0.0,0.05,0.95,0.49171568957590445,Susceptible-Highly Susceptible
0.0,0.05,1.0,0.1606127112851776,Immune-Susceptible
0.0,0.05,1.0,0.20575820378843693,Immune-Highly Susceptible
0.0,0.05,1.0,0.15230294032814617,Susceptible-Highly Susceptible
0.0,0.1,0.0,0.1291789754805537,Immune-Susceptible
0.0,0.1,0.0,0.2822207875727025,Immune-Highly Susceptible
0.0,0.1,0.0,0.27693815252551346,Susceptible-Highly Susceptible
0.0,0.1,0.05,0.1411240330287566,Immune-Susceptible
0.0,0.1,0.05,0.28805084726498165,Immune-Highly Susceptible
0.0,0.1,0.05,0.28155490690246876,Susceptible-Highly Susceptible
0.0,0.1,0.1,0.1299878052285873,Immune-Susceptible
0.0,0.1,0.1,0.2944876884956343,Immune-Highly Susceptible
0.0,0.1,0.1,0.294101507222062,Susceptible-Highly Susceptible
0.0,0.1,0.15,0.11711465354755603,Immune-Susceptible
0.0,0.1,0.15,0.25435744687011275,Immune-Highly Susceptible
0.0,0.1,0.15,0.2547508994636236,Susceptible-Highly Susceptible
0.0,0.1,0.2,0.13221813144161568,Immune-Susceptible
0.0,0.1,0.2,0.2937171483004223,Immune-Highly Susceptible
0.0,0.1,0.2,0.28813702829216864,Susceptible-Highly Susceptible
0.0,0.1,0.25,0.11842619013290866,Immune-Susceptible
0.0,0.1,0.25,0.2701355316724131,Immune-Highly Susceptible
0.0,0.1,0.25,0.2647719982709233,Susceptible-Highly Susceptible
0.0,0.1,0.3,0.13491640168690883,Immune-Susceptible
0.0,0.1,0.3,0.27582644336512063,Immune-Highly Susceptible
0.0,0.1,0.3,0.2706831916216131,Susceptible-Highly Susceptible
0.0,0.1,0.35,0.15105206138534688,Immune-Susceptible
0.0,0.1,0.35,0.27646995603683744,Immune-Highly Susceptible
0.0,0.1,0.35,0.2696517946014011,Susceptible-Highly Susceptible
0.0,0.1,0.4,0.14107196659191582,Immune-Susceptible
0.0,0.1,0.4,0.30328001266868004,Immune-Highly Susceptible
0.0,0.1,0.4,0.2969303708082539,Susceptible-Highly Susceptible
0.0,0.1,0.45,0.14467284303095754,Immune-Susceptible
0.0,0.1,0.45,0.3024777491914698,Immune-Highly Susceptible
0.0,0.1,0.45,0.2954052058752756,Susceptible-Highly Susceptible
0.0,0.1,0.5,0.1336905160263988,Immune-Susceptible
0.0,0.1,0.5,0.3289066408661487,Immune-Highly Susceptible
0.0,0.1,0.5,0.3188948704851406,Susceptible-Highly Susceptible
0.0,0.1,0.55,0.1380748613251674,Immune-Susceptible
0.0,0.1,0.55,0.31016573142378917,Immune-Highly Susceptible
0.0,0.1,0.55,0.3010434142797143,Susceptible-Highly Susceptible
