mu,nu,psi,H,Combination
0.0,0.05,0.3,0.27673509802225077,Immune-Highly Susceptible
0.0,0.05,0.3,0.27069386786414606,Susceptible-Highly Susceptible
0.0,0.05,0.35,0.12306888094903182,Immune-Susceptible
0.0,0.05,0.35,0.276433869897452,Immune-Highly Susceptible
0.0,0.05,0.35,0.27745796062157624,Susceptible-Highly Susceptible
0.0,0.05,0.4,0.13983443772251541,Immune-Susceptible
0.0,0.05,0.4,0.28169418691219167,Immune-Highly Susceptible
0.0,0.05,0.4,0.28192733650477003,Susceptible-Highly Susceptible
0.0,0.05,0.45,0.11195694983517025,Immune-Susceptible
0.0,0.05,0.45,0.2736083363742913,Immune-Highly Susceptible
0.0,0.05,0.45,0.26700062117901896,Susceptible-Highly Susceptible
0.0,0.05,0.5,0.13288551456206246,Immune-Susceptible
0.0,0.05,0.5,0.30352525268800384,Immune-Highly Susceptible
0.0,0.05,0.5,0.29825157608503544,Susceptible-Highly Susceptible
0.0,0.05,0.55,0.13624729487476295,Immune-Susceptible
0.0,0.05,0.55,0.31675269604969,Immune-Highly Susceptible
0.0,0.05,0.55,0.311841956982405,Susceptible-Highly Susceptible
0.0,0.05,0.6,0.15697424331976687,Immune-Susceptible
0.0,0.05,0.6,0.32541205098141696,Immune-Highly Susceptible
0.0,0.05,0.6,0.3141702161775302,Susceptible-Highly Susceptible
0.0,0.05,0.65,0.18296806154616851,Immune-Susceptible
0.0,0.05,0.65,0.34262637038668853,Immune-Highly Susceptible
0.0,0.05,0.65,0.342374444002635,Susceptible-Highly Susceptible
0.0,0.05,0.7,0.16071791227632734,Immune-Susceptible
0.0,0.05,0.7,0.36055697760682276,Immune-Highly Susceptible
0.0,0.05,0.7,0.34471570922329925,Susceptible-Highly Susceptible
0.0,0.05,0.75,0.19215394259063093,Immune-Susceptible
0.0,0.05,0.75,0.3810063517141382,Immune-Highly Susceptible
0.0,0.05,0.75,0.3679775175651489,Susceptible-Highly Susceptible
0.0,0.05,0.8,0.1845680666106072,Immune-Susceptible
0.0,0.05,0.8,0.41901931615521293,Immune-Highly Susceptible
0.0,0.05,0.8,0.4100199126225208,Susceptible-Highly Susceptible
0.0,0.05,0.85,0.23063655954461573,Immune-Susceptible
0.0,0.05,0.85,0.44226518923482344,Immune-Highly Susceptible
0.0,0.05,0.85,0.42143043751325165,Susceptible-Highly Susceptible
0.0,0.05,0.9,0.20879833376381185,Immune-Susceptible
0.0,0.05,0.9,0.4913381181089519,Immune-Highly Susceptible
0.0,0.05,0.9,0.4795457762702849,Susceptible-Highly Susceptible
0.0,0.05,0.95,0.3088823526694172,Immune-Susceptible
0.0,0.05,0.95,0.5216679860655836,Immune-Highly Susceptible
0.0,0.05,0.95,0.4542039527325059,Susceptible-Highly Susceptible
0.0,0.05,1.0,0.11371672108651637,Immune-Susceptible
0.0,0.05,1.0,0.15343049240900444,Immune-Highly Susceptible
0.0,0.05,1.0,0.14664359239338212,Susceptible-Highly Susceptible
