mu,nu,psi,H,Combination
0.0,0.05,0.3,0.6488829610113788,Susceptible-Highly Susceptible
0.0,0.05,0.35,0.2936302775912773,Immune-Susceptible
0.0,0.05,0.35,0.6779420892137663,Immune-Highly Susceptible
0.0,0.05,0.35,0.6490964866430029,Susceptible-Highly Susceptible
0.0,0.05,0.4,0.293895422839987,Immune-Susceptible
0.0,0.05,0.4,0.6856628321853381,Immune-Highly Susceptible
0.0,0.05,0.4,0.6505456063423003,Susceptible-Highly Susceptible
0.0,0.05,0.45,0.30812588503045485,Immune-Susceptible
0.0,0.05,0.45,0.7058167697694077,Immune-Highly Susceptible
0.0,0.05,0.45,0.659147979277987,Susceptible-Highly Susceptible
0.0,0.05,0.5,0.3225737961238473,Immune-Susceptible
0.0,0.05,0.5,0.7103997042178481,Immune-Highly Susceptible
0.0,0.05,0.5,0.6588690075958267,Susceptible-Highly Susceptible
0.0,0.05,0.55,0.29945607669130614,Immune-Susceptible
0.0,0.05,0.55,0.6935162297855822,Immune-Highly Susceptible
0.0,0.05,0.55,0.6392039362107044,Susceptible-Highly Susceptible
0.0,0.05,0.6,0.29887936016301914,Immune-Susceptible
0.0,0.05,0.6,0.7123087622420241,Immune-Highly Susceptible
0.0,0.05,0.6,0.6500885723797657,Susceptible-Highly Susceptible
0.0,0.05,0.65,0.3522428633588299,Immune-Susceptible
0.0,0.05,0.65,0.7316598026508092,Immune-Highly Susceptible
0.0,0.05,0.65,0.6541629540713743,Susceptible-Highly Susceptible
0.0,0.05,0.7,0.3686714812424389,Immune-Susceptible
0.0,0.05,0.7,0.7372109782824784,Immune-Highly Susceptible
0.0,0.05,0.7,0.6203463254525159,Susceptible-Highly Susceptible
0.0,0.05,0.75,0.36631952315429667,Immune-Susceptible
0.0,0.05,0.75,0.7368431862986172,Immune-Highly Susceptible
0.0,0.05,0.75,0.6614790217836015,Susceptible-Highly Susceptible
0.0,0.05,0.8,0.379110582913403,Immune-Susceptible
0.0,0.05,0.8,0.7636709893270479,Immune-Highly Susceptible
0.0,0.05,0.8,0.6608294242520518,Susceptible-Highly Susceptible
0.0,0.05,0.85,0.39805468116066833,Immune-Susceptible
0.0,0.05,0.85,0.7904222366087973,Immune-Highly Susceptible
0.0,0.05,0.85,0.653118117681487,Susceptible-Highly Susceptible
0.0,0.05,0.9,0.3926554893147733,Immune-Susceptible
0.0,0.05,0.9,0.8323928577338352,Immune-Highly Susceptible
0.0,0.05,0.9,0.6243288077843555,Susceptible-Highly Susceptible
0.0,0.05,0.95,0.39899059252798313,Immune-Susceptible
0.0,0.05,0.95,0.8557358699693659,Immune-Highly Susceptible
0.0,0.05,0.95,0.5882806405943426,Susceptible-Highly Susceptible
0.0,0.05,1.0,0.16709835107595458,Immune-Susceptible
0.0,0.05,1.0,0.2915871294955958,Immune-Highly Susceptible
0.0,0.05,1.0,0.20154236943026813,Susceptible-Highly Susceptible
0.0,0.1,0.0,0.2744818641398656,Immune-Susceptible
0.0,0.1,0.0,0.6502851216464783,Immune-Highly Susceptible
