mu,nu,psi,H,Combination
0.0,0.05,0.30000000000000004,0.9783511358211291,Immune-Highly Susceptible
0.0,0.05,0.30000000000000004,0.21110973468396987,Susceptible-Highly Susceptible
0.0,0.05,0.35000000000000003,0.8631608547933282,Immune-Susceptible
0.0,0.05,0.35000000000000003,0.9766896482950093,Immune-Highly Susceptible
0.0,0.05,0.35000000000000003,0.17003771254644456,Susceptible-Highly Susceptible
0.0,0.05,0.4,0.8507660958710013,Immune-Susceptible
0.0,0.05,0.4,0.97625054345469,Immune-Highly Susceptible
0.0,0.05,0.4,0.18721978086797428,Susceptible-Highly Susceptible
0.0,0.05,0.45,0.851017525584163,Immune-Susceptible
0.0,0.05,0.45,0.974955014397583,Immune-Highly Susceptible
0.0,0.05,0.45,0.19749386457008508,Susceptible-Highly Susceptible
0.0,0.05,0.5,0.8765562029527019,Immune-Susceptible
0.0,0.05,0.5,0.9711391084327886,Immune-Highly Susceptible
0.0,0.05,0.5,0.1700482622828843,Susceptible-Highly Susceptible
0.0,0.05,0.55,0.8607161114918468,Immune-Susceptible
0.0,0.05,0.55,0.9696552461386002,Immune-Highly Susceptible
0.0,0.05,0.55,0.19054700468871066,Susceptible-Highly Susceptible
0.0,0.05,0.6000000000000001,0.878874222547457,Immune-Susceptible
0.0,0.05,0.6000000000000001,0.9654017946942101,Immune-Highly Susceptible
0.0,0.05,0.6000000000000001,0.1707430031071056,Susceptible-Highly Susceptible
0.0,0.05,0.65,0.8782576035093189,Immune-Susceptible
0.0,0.05,0.65,0.9584013423227388,Immune-Highly Susceptible
0.0,0.05,0.65,0.17334863559520186,Susceptible-Highly Susceptible
0.0,0.05,0.7000000000000001,0.8611633685963553,Immune-Susceptible
0.0,0.05,0.7000000000000001,0.9505429407431086,Immune-Highly Susceptible
0.0,0.05,0.7000000000000001,0.1853874923685442,Susceptible-Highly Susceptible
0.0,0.05,0.75,0.8842419084435852,Immune-Susceptible
0.0,0.05,0.75,0.9426180858747082,Immune-Highly Susceptible
0.0,0.05,0.75,0.1460848486808063,Susceptible-Highly Susceptible
0.0,0.05,0.8,0.8847513383196974,Immune-Susceptible
0.0,0.05,0.8,0.9251948449920008,Immune-Highly Susceptible
0.0,0.05,0.8,0.1155592566897478,Susceptible-Highly Susceptible
0.0,0.05,0.8500000000000001,0.854958574938272,Immune-Susceptible
0.0,0.05,0.8500000000000001,0.9000077095850251,Immune-Highly Susceptible
0.0,0.05,0.8500000000000001,0.11618769952711688,Susceptible-Highly Susceptible
0.0,0.05,0.9,0.8225606287082563,Immune-Susceptible
0.0,0.05,0.9,0.8481132008550095,Immune-Highly Susceptible
0.0,0.05,0.9,0.08841432140756718,Susceptible-Highly Susceptible
0.0,0.05,0.9500000000000001,0.7289513306212791,Immune-Susceptible
0.0,0.05,0.9500000000000001,0.7405425694346991,Immune-Highly Susceptible
0.0,0.05,0.9500000000000001,0.16629303992311,Susceptible-Highly Susceptible
0.0,0.1,0.0,0.7860533321060243,Immune-Susceptible
0.0,0.1,0.0,0.9707144121892858,Immune-Highly Susceptible
0.0,0.1,0.0,0.2113263918886686,Susceptible-Highly Susceptible
0.0,0.1,0.05,0.7767159341191152,Immune-Susceptible
0.0,0.1,0.05,0.9692210847754882,Immune-Highly Susceptible
0.0,0.1,0.05,0.2155001438275905,Susceptible-Highly Susceptible
0.0,0.1,0.1,0.7829680929328336,Immune-Susceptible
0.0,0.1,0.1,0.9679827835215853,Immune-Highly Susceptible
0.0,0.1,0.1,0.21080075152655592,Susceptible-Highly Susceptible
0.0,0.1,0.15000000000000002,0.7811313247359639,Immune-Susceptible
0.0,0.1,0.15000000000000002,0.9673250880744979,Immune-Highly Susceptible
0.0,0.1,0.15000000000000002,0.22304723354451308,Susceptible-Highly Susceptible
0.0,0.1,0.2,0.7592579903688567,Immune-Susceptible
0.0,0.1,0.2,0.9670952797776476,Immune-Highly Susceptible
0.0,0.1,0.2,0.2558001629864275,Susceptible-Highly Susceptible
0.0,0.1,0.25,0.810913945108291,Immune-Susceptible
0.0,0.1,0.25,0.9640456945970186,Immune-Highly Susceptible
0.0,0.1,0.25,0.20003949963632792,Susceptible-Highly Susceptible
0.0,0.1,0.30000000000000004,0.7814996910061378,Immune-Susceptible
0.0,0.1,0.30000000000000004,0.9625005525955376,Immune-Highly Susceptible
0.0,0.1,0.30000000000000004,0.2412331770720132,Susceptible-Highly Susceptible
0.0,0.1,0.35000000000000003,0.850931555405568,Immune-Susceptible
0.0,0.1,0.35000000000000003,0.9612632108856546,Immune-Highly Susceptible
0.0,0.1,0.35000000000000003,0.1666166583071484,Susceptible-Highly Susceptible
0.0,0.1,0.4,0.8222409985858874,Immune-Susceptible
0.0,0.1,0.4,0.9577605707326406,Immune-Highly Susceptible
0.0,0.1,0.4,0.21006683567193837,Susceptible-Highly Susceptible
0.0,0.1,0.45,0.8687602143429338,Immune-Susceptible
0.0,0.1,0.45,0.9545520726150206,Immune-Highly Susceptible
0.0,0.1,0.45,0.14328067686097454,Susceptible-Highly Susceptible
0.0,0.1,0.5,0.8422186129463941,Immune-Susceptible
0.0,0.1,0.5,0.9513848517598141,Immune-Highly Susceptible
0.0,0.1,0.5,0.19039534361773444,Susceptible-Highly Susceptible
0.0,0.1,0.55,0.850403424421094,Immune-Susceptible
0.0,0.1,0.55,0.9471999459357314,Immune-Highly Susceptible
0.0,0.1,0.55,0.17621775815567559,Susceptible-Highly Susceptible
0.0,0.1,0.6000000000000001,0.8683240518763686,Immune-Susceptible
0.0,0.1,0.6000000000000001,0.9397738944124554,Immune-Highly Susceptible
0.0,0.1,0.6000000000000001,0.15452481070962557,Susceptible-Highly Susceptible
0.0,0.1,0.65,0.8417026890079461,Immune-Susceptible
0.0,0.1,0.65,0.9342216185233989,Immune-Highly Susceptible
0.0,0.1,0.65,0.1834332563586489,Susceptible-Highly Susceptible
0.0,0.1,0.7000000000000001,0.8690829491537384,Immune-Susceptible
0.0,0.1,0.7000000000000001,0.9237725213004918,Immune-Highly Susceptible
0.0,0.1,0.7000000000000001,0.13838452569475138,Susceptible-Highly Susceptible
0.0,0.1,0.75,0.8369600840164548,Immune-Susceptible
0.0,0.1,0.75,0.905569682204875,Immune-Highly Susceptible
0.0,0.1,0.75,0.14815435539709346,Susceptible-Highly Susceptible
0.0,0.1,0.8,0.834092341452848,Immune-Susceptible
0.0,0.1,0.8,0.8864119135996013,Immune-Highly Susceptible
0.0,0.1,0.8,0.13172068652942484,Susceptible-Highly Susceptible
0.0,0.1,0.8500000000000001,0.8064677617020143,Immune-Susceptible
0.0,0.1,0.8500000000000001,0.845859980995618,Immune-Highly Susceptible
0.0,0.1,0.8500000000000001,0.11295681960365732,Susceptible-Highly Susceptible
0.0,0.1,0.9,0.7493451315701418,Immune-Susceptible
0.0,0.1,0.9,0.7786310370502285,Immune-Highly Susceptible
0.0,0.1,0.9,0.10733113029466909,Susceptible-Highly Susceptible
0.0,0.1,0.9500000000000001,0.6298342517258031,Immune-Susceptible
0.0,0.1,0.9500000000000001,0.6424357589334454,Immune-Highly Susceptible
0.0,0.1,0.9500000000000001,0.19240974321686977,Susceptible-Highly Susceptible
0.0,0.15000000000000002,0.0,0.7769794360946283,Immune-Susceptible
0.0,0.15000000000000002,0.0,0.9561313891937626,Immune-Highly Susceptible
0.0,0.15000000000000002,0.0,0.22155109614181717,Susceptible-Highly Susceptible
0.0,0.15000000000000002,0.05,0.7391500534561672,Immune-Susceptible
0.0,0.15000000000000002,0.05,0.9560987056683602,Immune-Highly Susceptible
0.0,0.15000000000000002,0.05,0.2540985959455601,Susceptible-Highly Susceptible
0.0,0.15000000000000002,0.1,0.805290128435927,Immune-Susceptible
0.0,0.15000000000000002,0.1,0.953009940563018,Immune-Highly Susceptible
0.0,0.15000000000000002,0.1,0.18049470714895638,Susceptible-Highly Susceptible
0.0,0.15000000000000002,0.15000000000000002,0.7750876798917955,Immune-Susceptible
0.0,0.15000000000000002,0.15000000000000002,0.9522008906089657,Immune-Highly Susceptible
0.0,0.15000000000000002,0.15000000000000002,0.2142737057653711,Susceptible-Highly Susceptible
0.0,0.15000000000000002,0.2,0.8067561080720782,Immune-Susceptible
0.0,0.15000000000000002,0.2,0.9523222355624834,Immune-Highly Susceptible
0.0,0.15000000000000002,0.2,0.18743016682645255,Susceptible-Highly Susceptible
0.0,0.15000000000000002,0.25,0.796991174533073,Immune-Susceptible
0.0,0.15000000000000002,0.25,0.948352457386509,Immune-Highly Susceptible
0.0,0.15000000000000002,0.25,0.20734968115552818,Susceptible-Highly Susceptible
0.0,0.15000000000000002,0.30000000000000004,0.7886222737630423,Immune-Susceptible
0.0,0.15000000000000002,0.30000000000000004,0.9473885031944773,Immune-Highly Susceptible
0.0,0.15000000000000002,0.30000000000000004,0.2213107370617597,Susceptible-Highly Susceptible
